standard_population,pathogen,phase,standardized_rate_pct,ci95_low_pct,ci95_high_pct,method,n_bootstrap,seed,note
pooled corrected Phase I + Phase II age distribution,FluA,Phase I,0.3627635308535661,0.2699824271615511,0.462729602187833,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
pooled corrected Phase I + Phase II age distribution,FluB,Phase I,0.1425165630751901,0.0829025167656552,0.2118366564105482,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
pooled corrected Phase I + Phase II age distribution,RSV,Phase I,2.155408644955521,1.992044794465007,2.323006301909761,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
pooled corrected Phase I + Phase II age distribution,ADV,Phase I,0.4090648317454832,0.3083756195081754,0.5191117277701299,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
pooled corrected Phase I + Phase II age distribution,PIV,Phase I,0.2208604585458772,0.1591692340871525,0.2870233301986126,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
pooled corrected Phase I + Phase II age distribution,FluA,Phase II,11.59184994501714,11.358451705114144,11.82558000149203,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
pooled corrected Phase I + Phase II age distribution,FluB,Phase II,3.98243396004533,3.8343689256068174,4.135975062316026,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
pooled corrected Phase I + Phase II age distribution,RSV,Phase II,7.663348898627073,7.442600480255154,7.883857533047626,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
pooled corrected Phase I + Phase II age distribution,ADV,Phase II,5.68832926190839,5.51891480826606,5.863155046840531,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
pooled corrected Phase I + Phase II age distribution,PIV,Phase II,4.007141302200893,3.7262266538557935,4.30345854137445,Direct age standardization; fixed pooled weights; age-stratum binomial parametric bootstrap,10000,42,Sensitivity analysis only; age standardization does not remove diagnostic-platform differences.
